Date,Open
2017-11-27,9278.99
2017-11-26,8718
2017-11-25,8199.83
2017-11-24,7988.96
2017-11-23,8214.69
2017-11-22,8095.19
2017-11-21,8226.14
2017-11-20,8016.58
2017-11-19,7775.55
2017-11-18,7675
2017-11-17,7846.96
2017-11-16,7294
2017-11-15,6609
2017-11-14,6524.69
2017-11-13,5870.03
2017-11-12,6355.13
2017-11-11,6588.18
2017-11-10,7150.61
2017-11-09,7465.06
2017-11-08,7131.38
2017-11-07,6967.64
2017-11-06,7373.3
2017-11-05,7388.79
2017-11-04,7145.24
2017-11-03,7030
2017-11-02,6745.04
2017-11-01,6434.24
2017-10-31,6120
2017-10-30,6133.01
2017-10-29,5731.7
2017-10-28,5773.03
2017-10-27,5889.99
2017-10-26,5741.35
2017-10-25,5518.49
2017-10-24,5869.82
2017-10-23,5967.38
2017-10-22,6010.85
2017-10-21,5977.26
2017-10-20,5700
2017-10-19,5572.64
2017-10-18,5591.97
2017-10-17,5752.2
2017-10-16,5683.92
2017-10-15,5795.01
2017-10-14,5653.58
2017-10-13,5444
2017-10-12,4822.01
2017-10-11,4747.9
2017-10-10,4761.67
2017-10-09,4597.97
2017-10-08,4422.72
2017-10-07,4356.09
2017-10-06,4301.09
2017-10-05,4219.74
2017-10-04,4315.73
2017-10-03,4391.41
2017-10-02,4369.33
2017-10-01,4326.09
2017-09-30,4162.04
2017-09-29,4183.47
2017-09-28,4202.34
2017-09-27,3883.95
2017-09-26,3920.66
2017-09-25,3667.01
2017-09-24,3781.13
2017-09-23,3611.91
2017-09-22,3607.83
2017-09-21,3864
2017-09-20,3888.8
2017-09-19,4102
2017-09-18,3662.95
2017-09-17,3669.07
2017-09-16,3699.89
2017-09-15,3227.79
2017-09-14,3861.89
2017-09-13,4170.6
2017-09-12,4198.89
2017-09-11,4226.21
2017-09-10,4322.44
2017-09-09,4327.41
2017-09-08,4615
2017-09-07,4605.81
2017-09-06,4397.38
2017-09-05,4282.53
2017-09-04,4603.68
2017-09-03,4599.9
2017-09-02,4921.71
2017-09-01,4734.26
2017-08-31,4573.15
2017-08-30,4578.82
2017-08-29,4385
2017-08-28,4329.91
2017-08-27,4333.38
2017-08-26,4348.17
2017-08-25,4308.8
2017-08-24,4121.78
2017-08-23,4078
2017-08-22,3987.51
2017-08-21,4058.64
